Lv	Exp	Reward
1	0	[]
2	200	[{"type":"Resource","currency":"CO","value":500},{"type":"Resource","currency":"LP","value":3}]
3	500	[{"type":"Resource","currency":"CO","value":1000},{"type":"Resource","currency":"LP","value":3}]
4	700	[{"type":"Resource","currency":"JS","value":150},{"type":"Resource","currency":"LP","value":3}]
5	900	[{"type":"ItemBag","ItemBagID":"gacha_pack1","value":2},{"type":"Resource","currency":"LP","value":3}]
6	1200	[{"type":"Resource","currency":"GE","value":50},{"type":"Resource","currency":"LP","value":3}]
7	1500	[{"type":"Resource","currency":"CO","value":4000},{"type":"Resource","currency":"LP","value":3}]
8	1800	[{"type":"ItemBag","ItemBagID":"gacha_box3","value":1},{"type":"Resource","currency":"LP","value":3}]
9	2100	[{"type":"Resource","currency":"GE","value":100},{"type":"Resource","currency":"LP","value":3}]
10	2300	[{"type":"ItemBag","ItemBagID":"gacha_pack2","value":1},{"type":"Resource","currency":"LP","value":3}]
